@relation amazonReview
@attribute "WordLength_3" numeric
@attribute "WordLength_2" numeric
@attribute "WordLength_1" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cutey, Davisson, Dent, Engineer, Goonan}
@data
67,38,17,Bukowsky
71,54,14,Bukowsky
58,43,14,Bukowsky
65,44,22,Bukowsky
77,50,14,Calvinnme
47,50,6,Calvinnme
48,42,10,Calvinnme
52,38,15,Calvinnme
64,39,14,Calvinnme
30,26,14,Calvinnme
45,39,21,Calvinnme
85,51,19,Calvinnme
44,30,9,Calvinnme
27,33,9,Calvinnme
73,42,16,Calvinnme
81,43,22,Calvinnme
68,54,14,Calvinnme
63,53,26,Calvinnme
33,23,6,Calvinnme
64,44,29,Calvinnme
41,31,15,Calvinnme
42,38,16,Calvinnme
43,56,19,Calvinnme
50,38,11,Calvinnme
25,8,4,Calvinnme
78,76,8,Calvinnme
34,29,2,Calvinnme
46,50,7,Calvinnme
52,38,15,Calvinnme
37,21,6,Calvinnme
77,61,19,Calvinnme
79,78,23,Calvinnme
59,67,27,Calvinnme
41,36,10,Calvinnme
45,23,13,Calvinnme
59,49,22,Calvinnme
42,28,7,Calvinnme
37,24,4,Calvinnme
71,41,14,Calvinnme
46,52,22,Calvinnme
28,21,10,Calvinnme
67,45,15,Calvinnme
87,50,19,Calvinnme
45,28,13,Calvinnme
53,49,8,Calvinnme
52,40,12,Calvinnme
30,36,10,Calvinnme
47,41,10,Calvinnme
64,38,17,Calvinnme
76,45,11,Calvinnme
44,40,11,Calvinnme
41,36,10,Calvinnme
61,49,12,Calvinnme
23,21,6,Calvinnme
68,40,9,CFH
79,43,8,CFH
57,41,8,CFH
57,41,8,CFH
57,41,8,CFH
46,44,6,CFH
50,37,14,CFH
45,29,10,CFH
40,23,12,CFH
52,48,7,CFH
69,60,18,CFH
58,48,14,CFH
38,40,6,CFH
58,44,13,CFH
50,36,14,CFH
32,24,8,CFH
37,34,20,CFH
52,37,9,CFH
53,38,15,CFH
44,32,11,CFH
56,42,8,CFH
67,46,13,CFH
35,26,12,CFH
74,38,19,CFH
58,41,6,CFH
37,34,20,CFH
74,38,19,CFH
47,34,7,CFH
39,40,17,CFH
63,35,9,CFH
40,32,10,CFH
38,37,12,CFH
40,32,8,CFH
58,44,11,CFH
39,40,17,CFH
66,42,4,CFH
52,25,19,CFH
66,42,15,CFH
34,36,17,CFH
44,26,9,CFH
57,40,13,CFH
47,44,19,CFH
61,40,17,CFH
57,38,17,CFH
51,35,15,CFH
49,55,12,CFH
44,38,16,CFH
51,40,6,CFH
65,53,14,CFH
59,39,12,CFH
55,34,9,Chachra
33,26,8,Chachra
5,11,6,Chachra
33,23,4,Chachra
18,11,2,Chachra
65,47,23,Chachra
44,46,9,Chachra
40,22,4,Chachra
77,56,17,Chachra
51,29,12,Chachra
32,23,3,Chachra
68,41,27,Chachra
44,21,4,Chachra
62,34,10,Chachra
4,3,0,Chachra
39,22,7,Chachra
14,11,1,Chachra
33,30,12,Chachra
44,25,20,Chachra
20,18,7,Chachra
53,31,18,Chachra
12,7,1,Chachra
17,12,3,Chachra
26,32,10,Chachra
30,26,13,Chachra
16,14,6,Chachra
41,26,6,Chachra
18,12,2,Chachra
49,19,6,Chachra
47,30,15,Chachra
38,31,16,Chachra
23,31,12,Chachra
28,19,13,Chachra
30,20,5,Chachra
37,33,16,Chachra
28,20,14,Chachra
46,29,20,Chachra
18,8,5,Chachra
21,9,5,Chachra
27,16,14,Chachra
50,35,12,Chachra
45,15,9,Chachra
45,15,9,Chachra
31,28,8,Chachra
35,40,20,Chachra
17,12,7,Chachra
41,25,14,Chachra
28,18,7,Chachra
35,17,9,Chachra
52,25,15,Chachra
91,76,34,Chandler
73,62,28,Chandler
51,31,19,Chandler
68,54,20,Chandler
72,56,31,Chandler
61,48,19,Chandler
85,63,29,Chandler
71,47,29,Chandler
94,78,27,Chandler
93,75,25,Chandler
61,54,27,Chandler
67,48,20,Chandler
69,56,16,Chandler
37,49,32,Chandler
78,64,25,Chandler
48,46,21,Chandler
49,48,16,Chandler
89,62,35,Chandler
71,60,36,Chandler
49,44,13,Chandler
67,79,37,Chandler
82,60,30,Chandler
66,68,29,Chandler
87,67,29,Chandler
66,48,41,Chandler
54,51,31,Chandler
89,74,40,Chandler
58,79,40,Chandler
77,47,28,Chandler
51,57,25,Chandler
29,37,19,Chandler
39,35,21,Chandler
35,50,14,Chandler
60,43,31,Chandler
61,58,17,Chandler
88,68,21,Chandler
52,44,24,Chandler
35,31,17,Chandler
57,42,16,Chandler
75,66,18,Chandler
71,64,18,Chandler
53,56,29,Chandler
45,27,13,Chandler
100,73,19,Chandler
38,49,25,Chandler
56,50,27,Chandler
63,63,32,Chandler
48,33,18,Chandler
80,44,19,Chandler
77,71,11,Chandler
64,50,20,Chell
39,34,19,Chell
39,32,17,Chell
56,47,13,Chell
30,30,17,Chell
18,9,11,Chell
45,44,9,Chell
72,55,27,Chell
56,58,14,Chell
59,61,13,Chell
67,65,20,Chell
47,47,12,Chell
61,56,18,Chell
33,32,10,Chell
33,29,19,Chell
70,53,23,Chell
42,43,19,Chell
17,20,6,Chell
11,8,1,Chell
67,56,23,Chell
48,32,10,Chell
50,56,17,Chell
55,49,20,Chell
56,51,17,Chell
66,78,40,Chell
43,39,15,Chell
43,41,16,Chell
28,24,14,Chell
56,54,21,Chell
68,56,31,Chell
30,25,12,Chell
60,53,26,Chell
53,55,24,Chell
48,41,24,Chell
67,47,20,Chell
35,34,13,Chell
34,15,13,Chell
34,31,15,Chell
26,25,4,Chell
55,47,7,Chell
59,50,14,Chell
54,44,13,Chell
71,59,21,Chell
42,42,18,Chell
33,28,9,Chell
37,39,15,Chell
48,43,31,Chell
55,48,12,Chell
44,34,13,Chell
53,47,14,Chell
53,41,14,Cholette
49,36,14,Cholette
48,30,16,Cholette
35,25,20,Cholette
66,36,35,Cholette
39,30,16,Cholette
56,45,23,Cholette
40,37,22,Cholette
50,55,15,Cholette
64,37,20,Cholette
46,39,20,Cholette
36,35,11,Cholette
32,35,9,Cholette
26,29,13,Cholette
72,66,26,Cholette
67,73,22,Cholette
44,38,15,Cholette
40,30,10,Cholette
43,47,26,Cholette
43,48,22,Cholette
49,40,40,Cholette
64,48,31,Cholette
41,38,19,Cholette
40,36,17,Cholette
54,39,7,Cholette
51,44,30,Cholette
70,60,28,Cholette
50,56,16,Cholette
48,48,17,Cholette
63,52,20,Cholette
30,30,17,Cholette
64,62,36,Cholette
37,38,11,Cholette
43,24,18,Cholette
54,41,19,Cholette
73,44,17,Cholette
40,32,13,Cholette
39,43,13,Cholette
92,53,17,Cholette
30,24,10,Cholette
64,48,31,Cholette
40,28,14,Cholette
62,71,18,Cholette
42,36,13,Cholette
43,33,10,Cholette
47,37,20,Cholette
50,35,11,Cholette
48,33,14,Cholette
41,47,21,Cholette
74,66,21,Cholette
74,48,20,Comdet
54,52,18,Comdet
48,51,11,Comdet
68,54,23,Comdet
71,57,18,Comdet
61,45,18,Comdet
44,33,16,Comdet
57,30,20,Comdet
42,37,22,Comdet
51,40,20,Comdet
85,74,15,Comdet
46,48,12,Comdet
50,42,15,Comdet
50,47,21,Comdet
61,60,8,Comdet
61,55,26,Comdet
65,50,10,Comdet
67,51,24,Comdet
63,58,26,Comdet
66,58,21,Comdet
72,59,35,Comdet
55,30,16,Comdet
56,55,17,Comdet
56,43,22,Comdet
74,52,26,Comdet
57,61,24,Comdet
54,38,17,Comdet
72,61,29,Comdet
63,45,11,Comdet
64,56,15,Comdet
67,63,30,Comdet
76,61,23,Comdet
29,43,18,Comdet
94,57,18,Comdet
61,38,18,Comdet
72,54,23,Comdet
75,57,32,Comdet
56,39,14,Comdet
51,32,14,Comdet
60,40,10,Comdet
49,38,8,Comdet
77,82,25,Comdet
48,44,17,Comdet
66,62,22,Comdet
91,63,42,Comdet
55,43,21,Comdet
42,45,13,Comdet
45,53,16,Comdet
66,42,19,Comdet
70,37,22,Comdet
21,13,8,Corn
45,32,13,Corn
52,36,23,Corn
29,44,7,Corn
33,29,15,Corn
46,38,33,Corn
27,25,13,Corn
54,54,13,Corn
58,53,29,Corn
49,35,7,Corn
27,27,9,Corn
51,37,9,Corn
43,37,20,Corn
39,39,23,Corn
17,17,5,Corn
38,27,15,Corn
43,40,9,Corn
47,37,21,Corn
60,47,13,Corn
37,39,21,Corn
28,23,4,Corn
65,50,28,Corn
29,26,6,Corn
63,62,28,Corn
52,48,14,Corn
85,77,29,Corn
57,49,28,Corn
48,59,15,Corn
53,28,17,Corn
45,43,13,Corn
45,34,16,Corn
39,29,8,Corn
34,21,11,Corn
57,43,8,Corn
63,57,10,Corn
23,27,10,Corn
49,44,19,Corn
33,35,21,Corn
31,36,7,Corn
47,34,13,Corn
41,62,8,Corn
55,44,11,Corn
43,33,22,Corn
16,25,11,Corn
58,57,18,Corn
42,38,24,Corn
60,39,20,Corn
54,44,10,Corn
53,37,13,Corn
62,45,39,Corn
47,43,17,Cutey
40,47,30,Cutey
47,32,16,Cutey
53,41,29,Cutey
69,49,14,Cutey
36,23,29,Cutey
40,40,19,Cutey
32,27,8,Cutey
46,47,14,Cutey
30,24,14,Cutey
44,31,23,Cutey
28,19,9,Cutey
35,39,14,Cutey
67,20,14,Cutey
31,23,16,Cutey
37,28,19,Cutey
53,28,21,Cutey
28,36,16,Cutey
46,42,22,Cutey
38,37,14,Cutey
53,37,25,Cutey
40,32,21,Cutey
78,59,23,Cutey
46,39,23,Cutey
40,24,12,Cutey
99,38,37,Cutey
74,59,26,Cutey
47,38,13,Cutey
42,30,19,Cutey
29,35,9,Cutey
36,34,19,Cutey
65,56,31,Cutey
33,27,19,Cutey
31,36,15,Cutey
39,37,17,Cutey
50,26,15,Cutey
36,46,16,Cutey
46,34,19,Cutey
30,31,19,Cutey
47,49,27,Cutey
63,42,22,Cutey
64,39,9,Cutey
42,37,16,Cutey
64,37,19,Cutey
60,55,26,Cutey
49,50,24,Cutey
52,42,13,Cutey
38,37,31,Cutey
52,34,18,Cutey
40,34,23,Cutey
49,56,21,Davisson
76,63,13,Davisson
51,29,22,Davisson
59,39,23,Davisson
62,58,15,Davisson
61,48,11,Davisson
54,35,17,Davisson
65,65,33,Davisson
81,42,7,Davisson
64,50,26,Davisson
65,47,22,Davisson
64,52,9,Davisson
59,26,28,Davisson
75,54,25,Davisson
45,52,10,Davisson
50,50,15,Davisson
47,33,16,Davisson
43,36,7,Davisson
64,33,15,Davisson
76,62,28,Davisson
66,46,9,Davisson
46,42,11,Davisson
64,50,13,Davisson
45,37,31,Davisson
84,46,18,Davisson
57,42,19,Davisson
57,43,20,Davisson
40,23,13,Davisson
46,42,11,Davisson
56,46,12,Davisson
62,41,20,Davisson
50,48,18,Davisson
66,62,19,Davisson
43,31,13,Davisson
60,49,20,Davisson
61,38,19,Davisson
67,52,33,Davisson
33,26,21,Davisson
40,27,17,Davisson
48,34,21,Davisson
37,44,13,Davisson
87,40,28,Davisson
50,35,20,Davisson
49,32,15,Davisson
64,35,19,Davisson
54,33,25,Davisson
46,41,14,Davisson
53,38,21,Davisson
54,29,9,Davisson
45,33,18,Davisson
49,48,16,Dent
65,50,25,Dent
72,56,21,Dent
77,43,20,Dent
35,47,17,Dent
33,31,8,Dent
34,27,9,Dent
31,23,13,Dent
59,55,33,Dent
66,60,29,Dent
36,50,9,Dent
59,37,13,Dent
53,30,12,Dent
60,37,18,Dent
73,65,24,Dent
51,35,8,Dent
59,54,32,Dent
64,35,17,Dent
52,36,14,Dent
43,29,19,Dent
46,34,9,Dent
38,22,17,Dent
59,35,13,Dent
59,35,13,Dent
77,46,13,Dent
46,40,18,Dent
46,40,18,Dent
45,41,23,Dent
45,41,23,Dent
48,48,17,Dent
45,41,23,Dent
36,47,19,Dent
67,41,19,Dent
42,27,10,Dent
53,44,22,Dent
39,46,10,Dent
78,53,26,Dent
43,62,28,Dent
19,29,6,Dent
31,38,12,Dent
59,39,23,Dent
42,45,19,Dent
68,62,29,Dent
74,59,36,Dent
30,40,23,Dent
46,40,16,Dent
57,39,17,Dent
53,37,16,Dent
83,56,23,Dent
70,64,12,Dent
41,28,12,Engineer
49,58,8,Engineer
59,43,7,Engineer
27,21,6,Engineer
45,27,9,Engineer
52,32,4,Engineer
23,18,6,Engineer
39,32,11,Engineer
36,42,6,Engineer
39,73,25,Engineer
39,73,25,Engineer
49,63,12,Engineer
43,61,22,Engineer
58,54,8,Engineer
58,54,8,Engineer
48,38,21,Engineer
52,46,3,Engineer
52,48,3,Engineer
56,85,32,Engineer
38,53,23,Engineer
39,56,18,Engineer
25,15,12,Engineer
22,24,11,Engineer
43,46,18,Engineer
30,26,3,Engineer
44,44,5,Engineer
30,26,3,Engineer
52,55,17,Engineer
38,48,16,Engineer
45,45,19,Engineer
41,31,10,Engineer
50,42,11,Engineer
47,35,11,Engineer
30,23,1,Engineer
62,40,12,Engineer
39,39,13,Engineer
52,54,8,Engineer
25,16,5,Engineer
34,32,21,Engineer
39,55,15,Engineer
39,55,15,Engineer
64,50,22,Engineer
65,50,22,Engineer
60,67,12,Engineer
46,45,6,Engineer
60,36,9,Engineer
31,41,10,Engineer
39,57,21,Engineer
52,49,8,Engineer
36,30,9,Engineer
59,59,14,Goonan
66,52,20,Goonan
61,46,11,Goonan
48,42,13,Goonan
54,61,33,Goonan
55,36,13,Goonan
46,54,27,Goonan
49,53,24,Goonan
49,48,17,Goonan
38,47,17,Goonan
34,49,12,Goonan
48,35,12,Goonan
44,42,14,Goonan
44,54,13,Goonan
51,30,13,Goonan
55,51,13,Goonan
58,42,15,Goonan
44,31,18,Goonan
33,37,25,Goonan
32,34,11,Goonan
38,49,20,Goonan
52,34,15,Goonan
36,45,14,Goonan
48,44,13,Goonan
32,40,15,Goonan
58,49,37,Goonan
63,55,25,Goonan
44,68,16,Goonan
46,34,17,Goonan
62,55,22,Goonan
58,56,13,Goonan
53,44,13,Goonan
43,49,13,Goonan
48,50,13,Goonan
52,50,17,Goonan
42,56,15,Goonan
58,52,18,Goonan
38,41,24,Goonan
46,42,24,Goonan
49,50,17,Goonan
42,37,12,Goonan
47,61,26,Goonan
36,32,16,Goonan
48,67,21,Goonan
38,66,23,Goonan
37,40,21,Goonan
52,33,13,Goonan
52,34,19,Goonan
33,35,19,Goonan
43,67,11,Goonan
