@relation amazonReview
@attribute "Unrestricted Type-Token ratio" numeric
@attribute "Guiraud's R" numeric
@attribute "Herdan's C" numeric
@attribute "Dugast's k" numeric
@attribute "Tuldava's LN" numeric
@attribute "Yule's K" numeric
@attribute "Honore's H" numeric
@attribute "Yule's K" numeric
@attribute "Entropy" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
.025,.982,.497,1.828,-.137,648.452,731.189,.053,16.526,Ashbacher
.026,.935,.491,1.788,-.139,648.418,718.690,.118,17.062,Ashbacher
.048,1.156,.523,1.799,-.157,653.135,637.502,.000,27.108,Ashbacher
.025,.949,.493,1.806,-.137,645.800,727.240,.056,16.544,Ashbacher
.027,.923,.489,1.769,-.141,671.263,709.091,.031,17.495,Ashbacher
.031,1.033,.505,1.814,-.143,677.866,698.841,.118,19.893,Ashbacher
.030,.997,.500,1.797,-.143,668.868,699.851,.030,19.217,Ashbacher
.032,1.097,.513,1.857,-.141,664.912,709.091,.158,19.357,Ashbacher
.052,1.275,.538,1.853,-.157,656.062,638.182,.065,30.518,Ashbacher
.022,.892,.485,1.791,-.135,653.536,739.572,.028,14.971,Ashbacher
.051,1.389,.550,1.925,-.151,648.807,661.740,.105,28.509,Ashbacher
.028,1.019,.503,1.831,-.139,638.990,718.463,.054,18.164,Ashbacher
.027,.957,.494,1.794,-.140,669.497,714.045,.000,17.600,Ashbacher
.035,1.088,.512,1.828,-.145,650.415,688.346,.059,21.402,Ashbacher
.033,1.054,.508,1.819,-.144,625.452,694.794,.088,20.536,Ashbacher
.033,1.022,.503,1.796,-.145,647.178,688.755,.062,20.354,Ashbacher
.021,.849,.478,1.764,-.135,666.340,738.026,.118,14.336,Ashbacher
.029,1.041,.506,1.843,-.139,641.187,719.444,.105,18.404,Ashbacher
.027,.975,.496,1.806,-.140,607.919,716.162,.057,18.056,Ashbacher
.028,1.080,.511,1.872,-.137,619.601,727.309,.122,18.596,Ashbacher
.021,.877,.482,1.794,-.134,659.834,748.381,.054,14.072,Ashbacher
.027,1.043,.506,1.863,-.136,636.127,734.278,.146,17.439,Ashbacher
.032,1.089,.512,1.849,-.142,641.030,705.186,.054,20.569,Ashbacher
.024,.883,.483,1.758,-.139,653.407,718.083,.062,16.097,Ashbacher
.034,1.163,.521,1.885,-.141,622.944,707.496,.125,21.003,Ashbacher
.036,1.144,.520,1.856,-.145,670.085,689.770,.056,21.688,Ashbacher
.045,1.176,.525,1.828,-.153,599.120,654.391,.097,26.501,Ashbacher
.042,1.179,.525,1.844,-.150,632.159,666.313,.152,24.897,Ashbacher
.032,1.095,.513,1.850,-.142,658.685,703.966,.135,20.777,Ashbacher
.040,1.101,.515,1.801,-.151,640.598,660.935,.067,24.453,Ashbacher
.023,.876,.482,1.772,-.137,628.451,731.721,.059,15.136,Ashbacher
.027,.942,.492,1.782,-.140,641.811,711.151,.061,17.233,Ashbacher
.037,.995,.499,1.746,-.151,674.419,660.123,.000,22.047,Ashbacher
.057,1.599,.570,2.005,-.150,520.243,667.456,.067,32.300,Auken
.030,1.179,.522,1.927,-.136,580.883,737.149,.128,19.430,Auken
.030,1.171,.522,1.921,-.136,577.613,734.148,.130,19.040,Auken
.032,1.191,.524,1.914,-.138,618.238,721.818,.091,20.207,Auken
.032,1.191,.524,1.914,-.138,618.238,721.818,.091,20.207,Auken
.047,1.466,.555,1.983,-.145,490.659,689.264,.022,28.736,Auken
.050,1.471,.557,1.970,-.148,544.810,675.110,.093,29.537,Auken
.050,1.450,.555,1.960,-.148,545.985,673.221,.095,29.336,Auken
.143,2.395,.655,2.134,-.177,421.243,563.121,.100,63.146,Auken
.060,1.601,.572,1.996,-.152,624.826,658.064,.140,32.444,Auken
.035,1.237,.530,1.925,-.140,572.657,714.362,.114,21.919,Auken
.035,1.230,.529,1.918,-.141,594.860,710.906,.163,22.151,Auken
.067,1.741,.585,2.033,-.154,537.510,650.429,.133,36.043,Auken
.037,1.302,.537,1.949,-.140,573.686,713.010,.043,23.412,Auken
.038,1.347,.542,1.968,-.140,536.667,714.677,.083,23.904,Auken
.030,1.183,.523,1.923,-.137,614.445,732.119,.087,19.664,Auken
.034,1.244,.530,1.937,-.138,585.399,722.111,.087,21.448,Auken
.042,1.367,.545,1.958,-.143,623.512,698.749,.044,24.788,Auken
.033,1.216,.527,1.925,-.138,584.470,722.184,.111,21.307,Auken
.030,1.143,.518,1.903,-.137,626.861,730.115,.091,18.978,Auken
.032,1.208,.526,1.929,-.137,581.908,728.001,.087,20.559,Auken
.049,1.529,.562,2.005,-.145,538.483,689.264,.146,29.256,Auken
.032,1.221,.527,1.932,-.138,557.464,725.841,.130,20.865,Auken
.044,1.354,.544,1.940,-.145,546.451,686.901,.071,26.842,Auken
.099,2.110,.622,2.101,-.163,430.528,612.030,.067,49.638,Auken
.059,1.623,.573,2.010,-.150,515.438,664.509,.067,33.346,Auken
.035,1.219,.528,1.910,-.141,591.035,707.918,.190,21.852,Auken
.038,1.252,.532,1.911,-.143,586.531,697.821,.171,23.559,Auken
.037,1.311,.538,1.951,-.140,517.339,711.639,.065,23.911,Auken
.057,1.588,.570,1.998,-.150,563.778,664.379,.182,32.505,Auken
.056,1.555,.566,1.987,-.151,550.079,663.988,.186,32.137,Auken
.165,2.533,.670,2.156,-.183,427.104,546.806,.205,68.395,Auken
.043,1.340,.543,1.937,-.145,565.609,688.959,.071,25.904,Auken
.059,1.617,.573,2.004,-.151,563.276,660.665,.068,34.059,Auken
.042,1.360,.544,1.951,-.144,589.897,695.368,.114,25.396,Auken
.042,1.382,.546,1.961,-.143,589.587,696.697,.089,26.019,Auken
.161,2.540,.669,2.161,-.181,480.457,551.343,.225,67.237,Auken
.072,1.607,.576,1.961,-.161,567.650,621.860,.083,38.834,Auken
.159,2.458,.664,2.139,-.182,547.434,547.646,.105,65.053,Auken
.047,1.467,.556,1.984,-.145,557.752,689.061,.087,27.542,Auken
.048,1.510,.560,2.002,-.144,410.577,691.771,.021,29.050,Auken
.043,1.435,.551,1.986,-.142,555.879,702.019,.062,26.638,Auken
.042,1.420,.550,1.984,-.142,498.534,704.054,.042,26.162,Auken
.042,1.420,.550,1.984,-.142,498.534,704.054,.042,26.162,Auken
.050,1.510,.560,1.992,-.146,429.130,683.303,.043,29.865,Auken
.043,1.441,.552,1.988,-.143,510.903,701.121,.042,27.113,Auken
.052,1.531,.563,1.992,-.148,605.563,676.157,.133,30.501,Auken
.057,1.590,.570,1.999,-.150,577.702,664.118,.114,33.094,Auken
.032,1.191,.524,1.914,-.138,581.452,721.818,.136,20.772,Auken
.051,1.545,.564,2.004,-.146,453.551,682.979,.043,30.583,Auken
.036,1.114,.516,1.834,-.146,630.595,683.733,.088,22.554,Beauchamp
.029,1.005,.501,1.814,-.141,613.332,710.003,.086,18.644,Beauchamp
.033,1.133,.518,1.872,-.141,595.161,707.665,.077,20.334,Beauchamp
.032,1.172,.522,1.905,-.139,618.800,720.489,.093,20.815,Beauchamp
.035,1.179,.523,1.889,-.142,595.584,704.839,.050,21.758,Beauchamp
.030,1.011,.502,1.808,-.142,609.313,703.086,.059,19.319,Beauchamp
.030,1.025,.503,1.819,-.142,605.323,706.133,.029,19.261,Beauchamp
.038,1.258,.533,1.919,-.142,592.806,701.571,.048,22.831,Beauchamp
.030,1.091,.512,1.868,-.139,643.479,720.266,.100,18.890,Beauchamp
.030,1.078,.510,1.859,-.139,627.930,717.778,.128,19.169,Beauchamp
.031,1.035,.505,1.822,-.142,639.543,704.141,.086,19.474,Beauchamp
.031,1.035,.505,1.822,-.142,639.543,704.141,.086,19.474,Beauchamp
.038,1.196,.526,1.881,-.144,588.175,691.672,.184,22.673,Beauchamp
.031,1.079,.511,1.846,-.141,606.959,706.987,.027,19.445,Beauchamp
.030,.982,.497,1.785,-.143,618.173,696.697,.031,19.205,Beauchamp
.036,1.152,.520,1.864,-.144,622.535,693.828,.081,21.872,Beauchamp
.034,1.123,.517,1.857,-.143,668.775,699.026,.027,20.488,Beauchamp
.033,1.076,.510,1.832,-.143,564.156,696.508,.057,20.905,Beauchamp
.027,.969,.496,1.804,-.139,618.925,717.319,.029,17.560,Beauchamp
.037,1.183,.524,1.878,-.144,603.776,693.828,.079,22.906,Beauchamp
.031,1.132,.517,1.884,-.139,584.654,717.931,.146,19.920,Beauchamp
.032,1.189,.524,1.914,-.138,605.706,722.184,.091,19.715,Beauchamp
.035,1.077,.511,1.818,-.146,590.071,684.375,.030,21.870,Beauchamp
.025,.888,.483,1.760,-.139,645.149,716.858,.062,16.333,Beauchamp
.034,1.182,.524,1.896,-.141,596.838,709.257,.073,20.528,Beauchamp
.023,.917,.488,1.798,-.136,625.087,734.084,.028,15.509,Beauchamp
.026,.970,.496,1.812,-.138,609.763,722.766,.167,17.288,Beauchamp
.034,1.208,.526,1.913,-.140,571.238,714.520,.140,21.357,Beauchamp
.040,1.203,.527,1.870,-.147,582.039,679.794,.111,23.951,Beauchamp
.033,1.105,.514,1.853,-.142,601.684,702.287,.054,20.858,Beauchamp
.028,.899,.485,1.737,-.144,623.126,694.794,.034,18.022,Beauchamp
.038,1.162,.522,1.860,-.146,582.086,686.693,.083,23.194,Beauchamp
.034,1.103,.514,1.845,-.143,604.643,697.167,.083,20.500,Beauchamp
.039,1.308,.538,1.940,-.142,559.807,703.174,.045,24.392,Beauchamp
.025,.900,.485,1.771,-.139,644.353,720.415,.091,16.070,Beauchamp
.028,1.037,.505,1.842,-.139,586.905,720.266,.079,18.398,Beauchamp
.039,1.212,.528,1.885,-.145,559.760,689.061,.000,24.218,Beauchamp
.036,1.126,.517,1.844,-.145,600.488,687.420,.029,22.331,Beauchamp
.039,1.248,.532,1.905,-.144,544.320,693.440,.075,24.476,Beauchamp
.032,1.219,.527,1.931,-.138,552.884,726.052,.130,21.018,Beauchamp
.035,1.236,.530,1.924,-.140,568.614,714.441,.068,21.587,Beauchamp
.041,1.282,.536,1.913,-.145,564.692,688.141,.050,25.258,Beauchamp
.034,1.020,.503,1.788,-.146,626.801,682.763,.065,20.933,Beauchamp
.039,1.242,.531,1.904,-.144,665.418,694.409,.100,23.037,Beauchamp
.036,1.157,.521,1.865,-.144,593.125,692.952,.108,22.239,Beauchamp
.032,1.210,.526,1.929,-.137,520.953,727.656,.043,21.326,Beauchamp
.038,1.177,.524,1.863,-.146,589.992,684.162,.139,23.390,Beauchamp
.030,.952,.493,1.761,-.145,649.663,690.174,.000,19.299,Beauchamp
.028,1.016,.502,1.831,-.139,603.859,718.917,.135,18.214,Beauchamp
.026,.975,.497,1.820,-.137,594.536,727.240,.000,16.917,Beauchamp
.026,.950,.493,1.799,-.139,616.385,721.229,.086,16.921,Blankenship
.022,.882,.483,1.781,-.136,624.771,736.074,.057,14.929,Blankenship
.028,.990,.499,1.810,-.140,593.987,713.170,.029,17.969,Blankenship
.035,1.129,.518,1.852,-.144,629.756,692.461,.056,21.956,Blankenship
.033,1.252,.531,1.943,-.138,575.509,725.134,.128,21.131,Blankenship
.033,1.069,.510,1.830,-.143,604.556,697.635,.114,20.626,Blankenship
.026,.976,.497,1.813,-.138,645.930,721.598,.028,17.456,Blankenship
.038,1.205,.527,1.883,-.145,670.552,690.174,.132,23.092,Blankenship
.031,1.054,.507,1.833,-.141,597.266,706.219,.083,19.852,Blankenship
.039,1.171,.523,1.855,-.147,678.636,679.571,.114,23.549,Blankenship
.030,1.032,.504,1.828,-.141,663.681,710.414,.083,18.935,Blankenship
.030,1.038,.505,1.829,-.141,629.726,709.174,.056,18.197,Blankenship
.027,1.060,.508,1.873,-.136,630.496,735.947,.071,17.419,Blankenship
.031,1.149,.519,1.894,-.139,629.173,719.818,.071,18.711,Blankenship
.026,.947,.492,1.799,-.138,583.685,721.964,.000,17.076,Blankenship
.031,1.052,.507,1.833,-.141,610.527,706.476,.139,19.521,Blankenship
.032,1.015,.502,1.794,-.145,639.359,690.174,.031,19.686,Blankenship
.029,1.080,.511,1.865,-.138,610.001,722.475,.125,18.502,Blankenship
.025,1.007,.501,1.848,-.136,612.465,736.391,.175,16.480,Blankenship
.026,1.013,.502,1.843,-.137,590.879,730.047,.128,17.351,Blankenship
.027,.978,.497,1.814,-.139,628.484,721.082,.139,17.129,Blankenship
.028,.969,.496,1.797,-.140,610.156,711.639,.029,17.261,Blankenship
.030,1.041,.506,1.830,-.141,630.299,708.674,.083,19.208,Blankenship
.024,.914,.488,1.790,-.137,624.588,729.097,.086,15.917,Blankenship
.025,.959,.494,1.816,-.137,580.409,730.519,.081,16.539,Blankenship
.031,1.162,.521,1.902,-.138,586.550,722.184,.116,20.170,Blankenship
.031,1.112,.515,1.873,-.139,602.788,716.472,.050,19.397,Blankenship
.038,1.136,.519,1.840,-.147,595.018,679.794,.088,23.490,Blankenship
.024,.919,.488,1.791,-.137,609.854,727.863,.086,16.141,Blankenship
.032,1.153,.520,1.889,-.140,607.358,714.283,.146,20.516,Blankenship
.044,1.353,.544,1.939,-.145,606.242,687.005,.095,26.226,Blankenship
.024,.954,.494,1.821,-.136,648.008,737.023,.105,16.055,Blankenship
.032,1.046,.506,1.817,-.143,593.485,696.319,.029,20.188,Blankenship
.027,1.035,.505,1.855,-.137,634.295,730.921,.100,17.612,Blankenship
.031,1.092,.512,1.862,-.140,618.870,715.149,.077,20.047,Blankenship
.026,.921,.488,1.776,-.140,595.285,715.851,.091,16.964,Blankenship
.031,1.053,.507,1.833,-.141,624.524,706.305,.056,19.524,Blankenship
.025,.944,.492,1.798,-.138,611.550,722.548,.029,16.485,Blankenship
.027,.927,.489,1.770,-.141,605.244,708.339,.031,17.491,Blankenship
.036,1.264,.533,1.936,-.140,591.389,714.441,.089,21.635,Blankenship
.029,1.037,.505,1.836,-.140,612.115,714.913,.108,18.276,Blankenship
.026,.937,.491,1.788,-.139,625.396,718.387,.029,16.961,Blankenship
.036,1.252,.532,1.923,-.141,610.349,707.327,.116,22.100,Blankenship
.028,1.000,.500,1.820,-.139,613.527,716.704,.056,17.515,Blankenship
.029,.996,.499,1.804,-.142,631.148,706.048,.147,18.952,Blankenship
.025,.915,.488,1.782,-.138,619.642,723.129,.088,16.690,Blankenship
.032,1.042,.506,1.816,-.143,621.967,697.073,.118,19.753,Blankenship
.036,1.207,.527,1.901,-.142,612.946,705.099,.244,21.844,Blankenship
.026,1.008,.501,1.842,-.137,606.568,731.055,.128,17.348,Blankenship
.027,1.030,.504,1.847,-.137,618.264,726.822,.051,17.580,Blankenship
.034,1.173,.522,1.894,-.141,633.394,710.743,.122,21.177,Brody
.044,1.276,.536,1.893,-.148,652.598,673.459,.027,25.426,Brody
.035,1.137,.518,1.860,-.143,623.952,696.508,.108,21.608,Brody
.031,.963,.494,1.764,-.145,659.189,687.833,.100,19.544,Brody
.065,1.421,.557,1.888,-.162,572.656,616.542,.129,35.544,Brody
.092,1.818,.600,2.005,-.167,521.983,597.126,.028,45.196,Brody
.046,1.358,.545,1.930,-.148,540.210,676.504,.075,27.912,Brody
.039,1.211,.528,1.884,-.145,614.631,689.264,.132,23.447,Brody
.055,1.346,.546,1.884,-.156,603.514,639.859,.121,31.214,Brody
.026,1.029,.504,1.853,-.137,634.863,731.986,.075,17.333,Brody
.054,1.352,.547,1.892,-.155,590.075,644.889,.059,31.001,Brody
.073,1.376,.554,1.840,-.170,615.854,587.774,.077,37.908,Brody
.039,1.318,.539,1.942,-.142,607.069,701.571,.068,24.273,Brody
.031,1.112,.515,1.873,-.139,629.251,716.627,.050,19.534,Brody
.031,1.200,.525,1.927,-.137,599.376,729.234,.087,19.603,Brody
.024,.976,.497,1.840,-.135,605.121,742.536,.075,16.138,Brody
.046,1.357,.545,1.929,-.148,585.928,676.734,.100,26.709,Brody
.058,1.446,.557,1.926,-.155,642.430,642.972,.056,31.433,Brody
.074,1.415,.559,1.857,-.169,584.697,589.715,.074,39.457,Brody
.093,1.551,.578,1.884,-.177,620.433,563.835,.038,46.337,Brody
.050,1.271,.537,1.859,-.155,645.717,645.205,.156,28.884,Brody
.029,1.121,.516,1.893,-.137,602.150,729.438,.116,18.971,Brody
.039,1.245,.532,1.904,-.144,660.723,694.022,.075,23.386,Brody
.035,1.104,.514,1.839,-.145,667.142,691.274,.057,21.706,Brody
.110,1.991,.619,2.041,-.173,554.293,578.996,.139,51.053,Brody
.054,1.334,.545,1.881,-.156,597.607,641.673,.061,30.974,Brody
.045,1.324,.541,1.916,-.148,587.305,676.619,.128,26.809,Brody
.053,1.419,.553,1.932,-.152,598.359,657.508,.026,28.998,Brody
.053,1.172,.526,1.786,-.161,615.581,619.848,.038,29.806,Brody
.045,1.215,.529,1.852,-.151,585.832,660.394,.000,25.183,Brody
.028,.879,.481,1.722,-.144,647.140,692.264,.071,17.732,Brody
.065,1.378,.553,1.863,-.164,660.538,609.357,.103,34.447,Brody
.077,1.464,.565,1.877,-.169,619.830,590.263,.036,39.092,Brody
.044,1.219,.530,1.860,-.150,678.078,665.673,.118,25.954,Brody
.057,1.345,.547,1.877,-.158,637.634,633.859,.094,31.243,Brody
.028,.940,.491,1.774,-.142,610.762,705.445,.031,18.121,Brody
.028,1.005,.501,1.821,-.140,618.940,715.696,.083,18.079,Brody
.025,.874,.481,1.747,-.140,651.153,713.807,.065,16.417,Brody
.041,1.229,.530,1.882,-.147,585.851,681.014,.081,24.863,Brody
.042,1.176,.524,1.843,-.150,614.403,666.950,.061,25.302,Brody
.041,1.271,.535,1.904,-.146,593.226,684.694,.103,25.126,Brody
.027,1.000,.500,1.826,-.138,603.660,722.257,.135,17.784,Brody
.031,1.095,.513,1.863,-.140,615.607,714.598,.103,19.324,Brody
.052,1.272,.538,1.852,-.156,612.891,638.688,.097,30.157,Brody
.046,1.190,.527,1.831,-.153,637.535,652.062,.065,26.818,Brody
.057,1.284,.540,1.840,-.160,658.785,623.441,.034,31.474,Brody
.081,1.422,.561,1.843,-.174,570.480,573.334,.040,39.426,Brody
.086,1.575,.578,1.911,-.171,586.055,582.600,.000,44.131,Brody
.103,1.730,.597,1.947,-.177,575.854,563.835,.034,49.090,Brody
.070,1.448,.561,1.888,-.165,565.146,606.146,.000,38.469,Brody
.046,1.191,.527,1.832,-.153,609.136,651.915,.097,26.724,Brown
.048,1.200,.528,1.826,-.155,613.606,643.775,.033,27.348,Brown
.038,1.051,.507,1.779,-.151,628.871,663.595,.034,23.406,Brown
.046,1.151,.522,1.806,-.155,617.100,645.362,.034,26.982,Brown
.050,1.187,.527,1.807,-.158,605.526,632.077,.036,29.104,Brown
.040,1.211,.528,1.878,-.146,587.134,683.948,.054,24.136,Brown
.052,1.268,.537,1.851,-.156,591.017,639.359,.065,30.045,Brown
.036,1.070,.510,1.808,-.147,617.496,679.682,.062,21.876,Brown
.035,1.096,.513,1.830,-.145,634.063,686.901,.088,21.293,Brown
.029,.984,.498,1.794,-.142,631.316,702.465,.030,19.160,Brown
.058,1.319,.544,1.856,-.160,647.576,624.804,.067,32.902,Brown
.034,1.061,.509,1.814,-.145,608.618,687.523,.091,21.188,Brown
.034,1.061,.509,1.814,-.145,608.618,687.523,.091,21.188,Brown
.047,1.191,.527,1.824,-.155,606.932,645.362,.067,27.780,Brown
.049,1.227,.532,1.841,-.155,604.824,645.834,.065,28.331,Brown
.025,.923,.489,1.785,-.139,634.222,721.377,.029,16.733,Brown
.125,1.837,.613,1.960,-.186,573.345,537.528,.000,55.075,Brown
.086,1.655,.585,1.948,-.169,588.593,592.426,.094,42.456,Brown
.031,1.120,.516,1.875,-.140,573.372,715.149,.050,19.725,Brown
.035,1.162,.521,1.879,-.142,615.415,702.643,.128,21.126,Brown
.042,1.152,.521,1.830,-.150,649.299,664.769,.062,25.146,Brown
.042,1.122,.518,1.806,-.152,687.271,657.228,.000,24.876,Brown
.026,.991,.499,1.831,-.137,620.329,729.302,.053,17.053,Brown
.045,1.230,.531,1.863,-.151,620.203,663.857,.088,26.223,Brown
.036,1.080,.511,1.811,-.147,649.475,677.765,.062,22.292,Brown
.041,1.174,.524,1.849,-.148,618.578,673.221,.029,24.195,Brown
.052,1.227,.532,1.825,-.158,638.727,632.615,.034,29.268,Brown
.032,.996,.499,1.781,-.145,626.916,687.626,.032,20.172,Brown
.050,1.178,.526,1.805,-.158,631.561,633.683,.036,28.963,Brown
.030,.964,.495,1.772,-.144,613.634,694.119,.097,19.150,Brown
.032,1.051,.507,1.826,-.143,621.139,701.031,.086,19.860,Brown
.061,1.326,.546,1.851,-.162,616.279,616.961,.034,33.891,Brown
.052,1.330,.544,1.887,-.154,569.326,648.311,.000,28.897,Brown
.043,1.212,.529,1.859,-.150,599.659,666.823,.059,26.234,Brown
.038,1.087,.512,1.805,-.149,620.997,670.196,.097,23.273,Brown
.047,1.230,.532,1.849,-.153,662.603,651.767,.062,27.515,Brown
.047,1.222,.531,1.847,-.153,663.860,653.088,.062,27.214,Brown
.028,1.077,.510,1.877,-.136,624.572,732.778,.048,17.621,Brown
.061,1.355,.549,1.865,-.161,638.692,619.441,.067,33.832,Brown
.039,1.080,.512,1.796,-.150,600.850,664.769,.033,23.678,Brown
.032,.989,.498,1.779,-.145,596.636,688.959,.065,20.201,Brown
.033,1.162,.521,1.891,-.140,606.758,712.689,.073,20.557,Brown
.034,1.037,.505,1.800,-.146,620.177,685.961,.094,20.549,Brown
.051,1.352,.546,1.905,-.152,615.838,656.386,.111,28.822,Brown
.077,1.548,.573,1.918,-.167,654.038,599.396,.000,39.111,Brown
.047,1.317,.541,1.903,-.150,525.621,667.077,.108,28.121,Brown
.056,1.340,.546,1.876,-.157,657.156,634.564,.031,31.549,Brown
.051,1.303,.541,1.874,-.155,605.017,646.303,.091,29.588,Brown
.039,1.167,.523,1.854,-.147,600.580,680.239,.000,23.414,Brown
.071,1.455,.562,1.889,-.165,617.799,605.209,.067,37.462,Brown
