@relation amazonReview
@attribute "." numeric
@attribute "," numeric
@attribute "'" numeric
@attribute "\"" numeric
@attribute ":" numeric
@attribute "!" numeric
@attribute ";" numeric
@attribute "?" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
5,3,1,0,0,1,0,0,Auken
5,5,2,2,0,0,0,0,Auken
3,4,1,0,0,1,0,0,Auken
13,10,5,8,0,0,1,0,Auken
15,4,9,0,0,0,0,0,Auken
15,6,1,4,0,0,0,0,Auken
14,3,5,4,1,1,0,0,Auken
14,3,5,4,1,1,0,0,Auken
13,4,4,13,3,1,6,0,Auken
6,7,6,6,9,1,0,0,Auken
11,9,4,4,0,0,0,0,Auken
9,2,4,4,0,0,0,0,Auken
15,9,9,2,2,0,1,0,Auken
13,10,3,4,0,0,0,0,Auken
9,6,7,2,0,0,0,0,Beauchamp
14,7,9,2,0,0,1,1,Beauchamp
19,8,6,1,3,1,0,0,Beauchamp
20,9,7,2,0,0,0,1,Beauchamp
17,4,7,0,1,0,0,0,Beauchamp
16,5,7,0,1,1,0,0,Beauchamp
16,4,8,0,1,1,0,0,Beauchamp
15,11,9,0,0,0,0,0,Beauchamp
22,9,9,0,0,0,0,0,Beauchamp
13,8,2,0,1,0,0,0,Beauchamp
11,5,1,0,0,0,0,0,Beauchamp
11,5,1,0,0,0,0,0,Beauchamp
15,18,15,0,1,2,0,0,Beauchamp
12,14,14,0,2,1,0,0,Beauchamp
15,12,7,0,0,0,0,0,Beauchamp
9,5,5,0,0,1,0,0,Beauchamp
12,7,5,0,0,0,0,0,Beauchamp
13,3,8,0,0,2,0,0,Beauchamp
14,4,3,0,1,0,0,0,Beauchamp
13,7,1,0,1,0,0,0,Beauchamp
11,12,5,0,1,0,0,0,Beauchamp
14,25,8,0,3,0,1,0,Beauchamp
11,6,5,0,0,0,1,0,Beauchamp
12,5,12,0,0,1,2,0,Beauchamp
14,2,5,1,1,0,0,0,Beauchamp
14,21,10,0,2,1,1,0,Beauchamp
6,13,8,4,1,0,1,2,Beauchamp
18,16,12,9,2,0,0,0,Beauchamp
10,5,8,0,1,0,2,0,Beauchamp
9,16,5,0,0,0,0,0,Beauchamp
17,9,1,0,0,0,0,0,Beauchamp
15,11,0,2,1,1,0,1,Beauchamp
11,11,3,0,0,0,1,0,Beauchamp
12,14,14,2,1,1,0,1,Beauchamp
16,15,6,0,1,0,1,0,Beauchamp
10,12,7,0,1,1,1,1,Beauchamp
11,18,8,6,0,0,0,0,Beauchamp
9,6,5,4,0,0,2,1,Beauchamp
17,13,5,10,1,0,0,0,Beauchamp
18,13,8,8,1,0,1,0,Beauchamp
11,14,8,0,0,0,1,0,Beauchamp
9,9,4,0,0,0,0,0,Beauchamp
14,16,3,0,0,0,0,0,Beauchamp
10,11,10,0,1,0,0,0,Beauchamp
12,22,3,0,0,1,0,0,Beauchamp
11,18,7,0,0,0,3,1,Beauchamp
17,11,2,0,0,0,0,0,Beauchamp
12,5,6,0,1,0,0,0,Beauchamp
13,11,2,0,0,1,0,0,Beauchamp
19,25,5,0,0,1,0,1,Beauchamp
13,16,2,4,0,0,1,0,Blankenship
24,14,0,2,0,0,3,0,Blankenship
19,9,1,4,0,0,1,1,Blankenship
17,7,0,2,0,0,0,0,Blankenship
27,17,2,4,0,3,4,0,Blankenship
26,7,2,2,0,0,1,0,Blankenship
12,17,1,0,0,0,1,0,Blankenship
15,6,1,0,0,2,0,1,Blankenship
11,4,3,0,0,0,0,0,Blankenship
15,10,0,0,0,0,1,0,Blankenship
17,11,1,2,0,0,0,0,Blankenship
19,8,0,0,0,0,1,0,Blankenship
21,15,1,4,0,0,0,0,Blankenship
20,8,2,0,0,0,0,0,Blankenship
15,15,3,0,1,1,1,0,Blankenship
19,14,1,2,0,0,0,0,Blankenship
12,4,0,0,0,0,0,0,Blankenship
15,17,3,0,0,0,3,1,Blankenship
19,25,2,0,0,1,3,0,Blankenship
17,17,1,0,0,0,1,0,Blankenship
16,17,0,0,0,1,2,0,Blankenship
19,22,0,2,0,1,1,0,Blankenship
10,19,0,0,0,0,0,0,Blankenship
22,17,1,0,1,1,3,0,Blankenship
15,21,1,0,0,0,2,1,Blankenship
21,17,0,6,1,0,1,0,Blankenship
20,18,2,0,0,4,0,0,Blankenship
15,11,1,2,0,1,0,0,Blankenship
21,14,8,0,0,1,1,0,Blankenship
16,19,1,0,0,0,0,0,Blankenship
11,21,1,0,0,0,1,0,Blankenship
15,28,1,0,0,0,0,0,Blankenship
15,16,0,0,0,0,1,0,Blankenship
17,21,3,6,0,0,0,0,Blankenship
15,13,2,2,0,0,2,0,Blankenship
18,23,0,2,0,0,1,0,Blankenship
14,7,2,2,0,0,1,0,Blankenship
15,26,1,0,0,0,0,0,Blankenship
13,19,0,4,0,1,1,0,Blankenship
16,23,2,0,0,0,0,0,Blankenship
12,13,1,0,0,1,0,0,Blankenship
17,14,5,2,0,2,1,0,Blankenship
15,15,2,2,1,1,1,0,Blankenship
22,14,0,0,0,0,2,0,Blankenship
14,11,2,0,0,0,1,0,Blankenship
17,21,0,0,0,0,0,0,Blankenship
16,9,0,0,0,1,0,0,Blankenship
19,17,1,0,1,0,0,0,Blankenship
16,23,0,0,0,1,2,0,Blankenship
22,16,2,2,0,1,0,0,Blankenship
16,16,5,0,0,1,0,0,Brody
16,9,13,0,0,1,0,2,Brody
15,10,4,0,0,1,0,0,Brody
13,12,5,0,0,0,0,0,Brody
12,2,10,2,0,0,0,0,Brody
7,5,2,0,0,1,0,0,Brody
14,5,7,2,0,8,0,0,Brody
14,11,5,2,0,0,0,0,Brody
12,6,7,0,0,0,1,0,Brody
19,16,4,0,0,1,0,0,Brody
9,6,3,0,0,0,0,0,Brody
6,4,3,0,0,1,0,0,Brody
17,9,7,0,1,0,0,3,Brody
18,10,9,0,0,0,0,3,Brody
24,5,11,8,0,1,0,4,Brody
27,24,5,0,2,0,0,0,Brody
9,7,4,0,0,0,0,0,Brody
10,6,4,0,1,0,0,3,Brody
6,2,4,0,0,0,0,0,Brody
3,1,2,0,0,0,0,0,Brody
6,11,7,0,1,0,0,0,Brody
23,9,14,1,0,1,0,0,Brody
14,15,3,0,0,0,0,0,Brody
12,14,4,0,0,0,0,0,Brody
6,2,2,0,0,0,0,0,Brody
9,9,2,0,0,0,0,0,Brody
14,13,4,0,0,0,0,0,Brody
12,8,3,0,0,0,0,0,Brody
6,9,3,0,0,0,0,0,Brody
14,7,1,0,0,0,1,0,Brody
10,10,0,4,1,0,0,0,Brody
9,3,1,0,0,0,0,0,Brody
7,2,1,0,0,0,0,0,Brody
13,5,7,0,0,0,0,0,Brody
9,3,2,0,0,0,0,0,Brody
18,5,6,0,0,0,0,0,Brody
22,8,4,0,0,0,0,0,Brody
15,8,3,0,0,2,0,0,Brody
15,4,18,8,1,1,0,0,Brody
14,4,6,0,1,0,0,0,Brody
13,17,1,2,1,0,0,0,Brody
28,7,12,2,1,1,4,0,Brody
22,16,14,2,5,0,0,0,Brody
8,5,3,3,0,0,0,0,Brody
14,4,5,0,0,0,0,0,Brody
7,6,0,0,0,2,0,0,Brody
7,3,1,0,0,0,0,0,Brody
7,0,2,0,1,0,0,0,Brody
6,2,0,0,0,0,0,0,Brody
9,5,2,0,0,0,0,0,Brody
9,7,1,0,0,0,0,0,Brown
9,7,1,0,0,0,0,0,Brown
13,9,1,0,0,0,1,0,Brown
10,9,4,0,0,0,1,0,Brown
9,9,0,0,0,0,1,0,Brown
14,4,1,2,2,2,1,0,Brown
17,3,0,3,0,0,1,0,Brown
11,13,3,0,0,1,0,0,Brown
10,9,4,0,0,0,0,0,Brown
12,11,3,6,0,0,1,2,Brown
6,10,1,0,0,1,0,0,Brown
12,11,8,0,0,0,0,0,Brown
12,11,8,0,0,0,0,0,Brown
9,6,8,0,0,0,0,0,Brown
10,4,1,2,0,1,2,0,Brown
17,16,7,2,0,0,3,0,Brown
7,1,0,0,0,1,0,0,Brown
8,2,0,0,0,1,0,0,Brown
15,9,4,0,0,0,1,0,Brown
17,17,4,2,0,0,1,0,Brown
8,6,4,0,0,1,1,1,Brown
8,4,5,0,0,0,1,0,Brown
17,29,4,6,0,1,1,0,Brown
8,4,0,0,0,0,1,0,Brown
9,14,3,0,0,0,1,0,Brown
13,11,1,2,0,0,0,0,Brown
6,9,3,0,0,0,0,0,Brown
12,15,1,0,0,0,0,0,Brown
9,10,1,0,0,0,1,0,Brown
8,11,0,2,2,0,1,0,Brown
11,25,1,2,0,0,0,0,Brown
8,10,3,0,0,0,1,0,Brown
9,8,0,0,0,0,0,0,Brown
8,6,4,2,0,0,2,0,Brown
13,12,5,0,0,0,1,0,Brown
7,7,3,4,0,2,0,0,Brown
7,7,3,4,0,2,0,0,Brown
21,13,4,2,0,2,3,0,Brown
6,8,1,0,0,1,0,0,Brown
7,8,1,8,0,0,1,1,Brown
13,9,4,0,0,2,0,0,Brown
14,15,5,0,0,0,2,0,Brown
11,20,1,4,0,0,0,0,Brown
11,6,0,4,1,0,0,0,Brown
6,6,4,0,0,0,0,0,Brown
7,18,2,2,0,1,0,0,Brown
9,11,0,2,0,0,0,0,Brown
10,5,0,4,1,0,0,0,Brown
11,11,0,2,0,1,1,0,Brown
4,2,0,0,0,0,2,0,Brown
17,27,5,2,0,0,1,2,Bukowsky
14,24,0,0,0,0,1,0,Bukowsky
10,19,1,6,0,0,0,4,Bukowsky
14,26,4,36,2,1,0,3,Bukowsky
10,18,5,22,1,0,0,7,Bukowsky
19,24,7,6,1,0,3,0,Bukowsky
15,24,1,4,0,0,2,0,Bukowsky
14,17,4,6,0,0,2,0,Bukowsky
12,16,5,14,0,0,0,5,Bukowsky
14,22,3,2,0,0,0,0,Bukowsky
12,20,5,4,0,0,0,1,Bukowsky
13,19,3,10,1,0,0,0,Bukowsky
9,25,3,8,1,0,3,0,Bukowsky
10,28,5,20,0,0,0,0,Bukowsky
13,19,7,16,1,0,0,1,Bukowsky
15,15,6,4,2,0,0,1,Bukowsky
14,22,5,6,0,0,1,2,Bukowsky
8,17,2,8,3,0,0,4,Bukowsky
18,16,10,8,0,0,0,0,Bukowsky
12,12,2,2,0,0,0,0,Bukowsky
11,12,0,6,3,1,4,0,Bukowsky
12,16,0,8,0,0,0,0,Bukowsky
12,11,2,0,0,0,1,0,Bukowsky
21,13,1,0,0,0,0,0,Bukowsky
10,18,7,10,1,1,0,5,Bukowsky
18,24,7,14,0,0,0,0,Bukowsky
14,16,3,8,1,0,1,0,Bukowsky
17,31,4,10,2,0,0,1,Bukowsky
17,36,4,6,1,3,0,1,Bukowsky
15,22,4,6,0,0,2,0,Bukowsky
13,14,4,4,0,0,1,0,Bukowsky
8,22,6,4,0,0,1,2,Bukowsky
12,34,2,14,1,0,1,1,Bukowsky
15,14,3,4,0,0,0,1,Bukowsky
13,13,3,4,0,0,1,1,Bukowsky
13,26,9,6,1,0,0,0,Bukowsky
13,27,9,12,0,0,0,0,Bukowsky
18,20,4,4,0,0,0,1,Bukowsky
13,14,7,4,1,0,0,2,Bukowsky
13,26,2,4,0,0,1,0,Bukowsky
17,22,3,4,0,0,0,1,Bukowsky
13,20,5,4,0,0,0,2,Bukowsky
13,15,4,4,0,0,0,0,Bukowsky
10,19,2,6,0,0,0,0,Bukowsky
11,23,6,6,0,0,0,2,Bukowsky
12,34,1,10,1,0,0,4,Bukowsky
16,25,3,6,0,0,0,1,Bukowsky
16,28,7,6,0,0,0,0,Bukowsky
13,12,4,10,0,0,0,3,Bukowsky
14,20,9,4,0,0,0,0,Bukowsky
14,16,5,0,1,0,0,0,Calvinnme
14,13,0,0,0,0,0,0,Calvinnme
13,11,3,2,0,0,0,0,Calvinnme
8,13,5,2,3,0,0,0,Calvinnme
13,5,3,0,0,0,0,0,Calvinnme
8,6,4,2,0,0,0,0,Calvinnme
14,10,9,6,0,0,0,0,Calvinnme
15,17,14,0,0,0,0,0,Calvinnme
10,3,3,0,0,0,0,0,Calvinnme
7,6,3,0,1,0,0,0,Calvinnme
16,9,7,0,0,0,0,0,Calvinnme
15,14,10,8,0,0,0,0,Calvinnme
12,12,7,0,0,0,0,0,Calvinnme
18,14,9,0,0,0,0,0,Calvinnme
7,10,2,0,0,0,0,0,Calvinnme
17,5,10,2,0,0,0,0,Calvinnme
10,8,0,2,1,0,0,0,Calvinnme
11,7,5,0,0,0,0,0,Calvinnme
13,13,9,0,0,0,0,0,Calvinnme
11,5,3,2,0,0,0,0,Calvinnme
5,1,2,0,0,0,0,0,Calvinnme
15,18,1,2,0,0,0,0,Calvinnme
10,5,1,0,0,0,0,0,Calvinnme
12,7,1,2,1,0,0,1,Calvinnme
8,13,5,2,3,0,0,0,Calvinnme
9,8,0,0,1,0,0,0,Calvinnme
16,14,4,2,0,0,0,0,Calvinnme
17,21,2,0,0,0,0,0,Calvinnme
18,10,12,2,0,0,0,0,Calvinnme
12,7,1,2,0,0,0,0,Calvinnme
9,10,4,0,0,0,0,0,Calvinnme
12,5,3,0,0,0,0,0,Calvinnme
6,12,3,2,0,0,0,0,Calvinnme
7,8,1,2,0,0,0,0,Calvinnme
17,9,4,0,0,0,0,1,Calvinnme
13,9,9,0,0,0,0,1,Calvinnme
11,5,4,0,1,0,0,0,Calvinnme
15,16,7,2,1,0,0,1,Calvinnme
14,12,6,2,0,0,0,0,Calvinnme
10,2,2,2,1,0,0,0,Calvinnme
13,5,5,2,0,0,0,2,Calvinnme
9,10,7,12,0,0,0,0,Calvinnme
11,5,3,2,0,0,0,0,Calvinnme
9,8,4,6,0,0,0,0,Calvinnme
10,9,5,0,0,0,0,1,Calvinnme
16,11,3,2,0,0,0,1,Calvinnme
13,6,4,4,0,0,0,0,Calvinnme
12,7,1,2,0,0,0,0,Calvinnme
16,11,5,0,0,0,0,0,Calvinnme
12,6,4,0,0,0,0,0,Calvinnme
12,10,1,6,0,1,0,0,CFH
6,10,1,4,1,0,0,0,CFH
10,8,0,2,1,2,0,0,CFH
10,8,0,2,1,2,0,0,CFH
10,8,0,2,1,2,0,0,CFH
4,8,0,4,3,1,0,0,CFH
3,7,0,0,4,1,0,0,CFH
10,6,2,2,0,1,0,0,CFH
9,8,0,4,0,1,1,0,CFH
4,21,1,12,2,2,0,0,CFH
17,11,6,6,1,0,0,0,CFH
12,14,1,3,0,1,0,0,CFH
5,7,2,4,1,0,1,0,CFH
10,6,1,0,0,1,0,0,CFH
11,16,7,0,0,1,0,0,CFH
3,8,1,2,1,1,0,0,CFH
11,14,2,10,6,1,0,0,CFH
5,7,1,0,1,4,0,0,CFH
9,12,1,4,2,0,0,0,CFH
10,9,3,6,0,0,1,0,CFH
9,11,2,2,0,1,0,0,CFH
12,13,2,10,0,1,0,0,CFH
9,5,0,6,0,1,0,0,CFH
11,10,0,6,1,1,0,0,CFH
4,7,0,0,1,7,0,0,CFH
11,14,2,10,6,1,0,0,CFH
11,10,0,6,1,1,0,0,CFH
6,9,2,6,4,1,0,0,CFH
7,9,3,2,0,4,0,0,CFH
12,15,1,5,2,1,0,0,CFH
7,7,1,4,0,1,1,0,CFH
8,9,1,2,0,2,0,0,CFH
8,11,0,4,0,1,1,0,CFH
12,9,0,4,0,0,1,0,CFH
7,9,3,2,0,4,0,0,CFH
12,9,1,4,2,1,0,0,CFH
6,11,3,0,2,2,0,0,CFH
16,7,3,6,0,2,0,1,CFH
10,9,2,2,1,1,0,1,CFH
6,2,1,0,2,3,0,0,CFH
8,3,2,12,0,1,0,0,CFH
7,11,0,4,1,1,0,0,CFH
10,14,5,2,0,0,1,0,CFH
9,8,6,6,0,1,0,0,CFH
12,12,4,0,0,1,1,0,CFH
12,9,2,6,0,1,0,0,CFH
9,8,2,2,0,0,2,0,CFH
10,7,1,5,0,0,1,0,CFH
12,19,7,4,0,1,1,0,CFH
12,18,2,10,0,1,0,0,CFH
16,5,0,1,2,0,0,0,Chachra
11,3,2,0,0,0,0,0,Chachra
8,0,0,0,1,0,0,0,Chachra
13,3,0,0,0,0,0,0,Chachra
9,2,1,0,0,0,1,0,Chachra
34,9,5,0,4,0,0,0,Chachra
30,3,0,0,0,0,0,0,Chachra
30,5,2,0,1,0,0,0,Chachra
29,9,1,0,1,0,0,0,Chachra
20,4,2,0,0,0,0,0,Chachra
23,2,0,0,0,0,0,0,Chachra
28,8,0,0,3,0,0,0,Chachra
28,5,0,0,0,0,0,0,Chachra
22,2,1,0,0,0,0,3,Chachra
2,2,0,0,0,0,0,0,Chachra
17,4,0,0,1,0,0,2,Chachra
9,2,0,0,0,0,0,0,Chachra
27,3,1,0,0,0,0,0,Chachra
48,9,1,0,1,0,0,0,Chachra
12,2,2,0,0,0,0,0,Chachra
33,5,0,0,1,1,0,0,Chachra
3,2,0,0,0,0,0,0,Chachra
8,0,1,0,0,0,0,0,Chachra
13,3,1,0,0,1,0,0,Chachra
10,4,0,0,0,2,0,0,Chachra
11,2,0,0,0,0,0,0,Chachra
12,4,1,0,0,0,0,0,Chachra
3,3,0,0,1,0,0,0,Chachra
17,2,0,0,0,1,0,0,Chachra
34,7,0,0,0,0,0,1,Chachra
19,5,0,2,1,0,0,0,Chachra
25,6,0,0,0,0,0,0,Chachra
20,3,2,0,1,0,0,0,Chachra
23,1,0,0,1,0,0,0,Chachra
27,5,0,0,0,0,0,0,Chachra
29,3,0,0,2,0,0,0,Chachra
29,4,0,0,0,1,0,0,Chachra
18,1,0,0,1,0,0,0,Chachra
15,1,0,0,0,0,0,0,Chachra
16,1,0,0,1,1,0,0,Chachra
33,2,0,0,1,0,0,0,Chachra
16,10,1,0,2,0,0,0,Chachra
16,10,1,0,2,0,0,0,Chachra
22,0,0,0,0,0,0,0,Chachra
15,2,0,0,0,0,0,0,Chachra
11,0,0,0,0,0,0,0,Chachra
16,5,0,0,0,0,0,0,Chachra
7,3,1,0,1,0,0,0,Chachra
21,1,0,1,0,0,0,0,Chachra
32,0,0,5,0,1,0,1,Chachra
32,21,10,0,0,0,1,1,Chandler
27,26,5,6,0,0,0,0,Chandler
22,6,4,0,0,4,0,1,Chandler
24,22,6,2,3,0,0,1,Chandler
34,17,9,0,0,0,0,0,Chandler
20,8,6,0,1,0,0,0,Chandler
45,13,6,0,1,0,0,1,Chandler
21,13,4,0,0,0,0,0,Chandler
45,17,9,2,2,0,0,0,Chandler
32,15,6,4,3,0,0,0,Chandler
25,7,9,0,3,0,0,1,Chandler
14,7,4,2,0,0,0,0,Chandler
21,20,4,20,0,0,0,0,Chandler
19,13,9,0,0,4,0,0,Chandler
24,18,9,2,0,0,1,0,Chandler
14,9,8,0,0,2,0,0,Chandler
19,10,2,2,0,0,0,0,Chandler
36,13,10,2,1,0,0,0,Chandler
19,13,9,0,1,3,0,1,Chandler
18,16,6,4,1,1,0,0,Chandler
38,16,13,2,0,3,0,1,Chandler
56,8,4,4,1,1,0,0,Chandler
53,9,6,10,2,0,0,1,Chandler
35,14,8,14,1,4,0,2,Chandler
36,14,9,0,0,0,0,0,Chandler
25,5,9,2,3,4,0,0,Chandler
40,16,16,0,0,3,0,1,Chandler
52,10,10,0,0,6,0,1,Chandler
29,19,9,4,1,3,0,1,Chandler
17,10,6,2,1,2,0,0,Chandler
25,12,6,4,2,0,0,0,Chandler
21,12,6,0,0,1,1,0,Chandler
21,9,9,2,0,0,0,0,Chandler
21,10,7,4,0,4,0,0,Chandler
19,8,5,0,5,1,0,1,Chandler
31,15,7,2,3,0,0,0,Chandler
20,13,10,4,0,0,0,0,Chandler
9,5,4,2,0,1,0,0,Chandler
19,14,5,0,0,1,0,0,Chandler
18,13,6,2,0,1,0,0,Chandler
27,14,9,2,0,0,0,1,Chandler
23,18,6,4,0,0,0,0,Chandler
14,5,4,0,4,0,0,0,Chandler
17,16,7,2,1,0,0,0,Chandler
21,10,9,0,0,0,0,0,Chandler
29,12,7,2,1,0,0,0,Chandler
18,14,11,6,0,2,0,0,Chandler
17,7,3,2,0,3,0,0,Chandler
24,9,10,0,0,0,0,0,Chandler
21,6,6,2,0,0,0,0,Chandler
16,14,5,14,0,0,0,2,Chell
10,18,6,0,0,0,0,0,Chell
12,19,6,0,0,0,0,0,Chell
12,14,9,12,2,0,0,1,Chell
7,13,6,2,0,0,0,0,Chell
5,3,0,4,0,0,0,0,Chell
12,16,7,6,0,0,0,1,Chell
11,16,11,2,0,0,0,0,Chell
14,11,6,2,1,0,0,1,Chell
12,12,6,10,0,0,0,2,Chell
15,21,10,6,0,0,1,0,Chell
8,23,2,2,0,0,0,0,Chell
16,24,6,22,0,0,0,0,Chell
7,8,3,6,0,0,0,0,Chell
8,14,8,8,0,0,0,0,Chell
10,11,3,4,1,0,0,0,Chell
8,14,10,4,0,0,1,0,Chell
3,7,3,4,0,0,1,0,Chell
3,4,0,4,0,0,0,0,Chell
12,17,6,4,1,3,0,0,Chell
6,12,6,10,0,0,0,0,Chell
18,7,4,0,1,0,0,0,Chell
10,19,8,12,1,1,0,0,Chell
11,11,5,10,1,1,1,0,Chell
14,18,16,2,0,0,0,0,Chell
10,21,8,6,1,0,1,0,Chell
10,8,4,6,3,0,0,0,Chell
7,7,2,4,0,0,0,0,Chell
11,12,10,2,0,0,0,0,Chell
18,18,6,1,0,0,0,0,Chell
10,9,6,2,1,0,1,0,Chell
13,20,13,7,2,0,0,0,Chell
