@relation amazonReview
@attribute "e" numeric
@attribute "t" numeric
@attribute "a" numeric
@attribute "o" numeric
@attribute "i" numeric
@attribute "s" numeric
@attribute "n" numeric
@attribute "r" numeric
@attribute "h" numeric
@attribute "l" numeric
@attribute "d" numeric
@attribute "c" numeric
@attribute "u" numeric
@attribute "m" numeric
@attribute "f" numeric
@attribute "y" numeric
@attribute "g" numeric
@attribute "p" numeric
@attribute "w" numeric
@attribute "b" numeric
@attribute "v" numeric
@attribute "k" numeric
@attribute "x" numeric
@attribute "j" numeric
@attribute "z" numeric
@attribute "q" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cutey, Davisson, Dent, Engineer, Goonan}
@data
128,82,70,54,44,57,59,61,40,67,30,29,53,17,14,17,24,24,11,17,6,15,4,0,1,1,Agresti
113,75,54,65,65,56,48,51,48,33,34,15,19,26,13,15,22,7,18,11,8,3,1,1,0,0,Agresti
99,76,66,55,39,54,49,53,46,23,31,7,27,13,14,17,13,25,10,3,6,5,2,2,1,2,Agresti
79,67,47,44,43,49,35,40,26,31,27,23,29,13,14,11,21,15,8,9,7,10,4,0,0,0,Agresti
166,115,98,99,78,74,64,84,56,81,38,34,31,16,17,18,27,45,37,22,25,12,3,4,5,0,Agresti
150,142,100,111,85,90,71,65,67,46,51,55,38,18,36,16,28,27,31,35,10,24,2,0,0,3,Agresti
119,129,71,102,89,78,63,56,73,35,39,46,34,21,19,9,28,39,35,15,10,1,2,0,0,2,Agresti
100,94,57,70,69,88,53,49,45,42,22,34,27,14,19,17,12,25,13,16,8,7,0,1,0,3,Agresti
118,76,85,67,61,65,57,62,46,37,25,27,31,25,27,24,24,16,15,19,14,2,6,0,2,0,Agresti
109,96,93,83,76,80,83,39,52,48,36,33,29,25,26,16,20,9,15,11,6,3,5,2,0,1,Agresti
84,70,65,81,50,37,56,47,32,36,31,24,13,22,25,12,11,24,12,8,5,9,3,0,1,0,Agresti
88,92,53,71,62,53,53,36,44,40,23,36,30,17,10,20,19,16,14,21,6,5,2,0,0,4,Agresti
164,116,92,93,88,94,93,72,69,75,47,48,39,19,20,19,18,22,32,32,15,11,4,1,0,3,Agresti
133,102,70,95,80,67,66,82,52,60,48,49,40,13,32,16,14,35,23,12,10,4,10,1,0,3,Agresti
96,71,62,46,50,52,56,50,53,33,42,20,26,16,14,12,12,11,8,18,2,3,0,1,1,4,Agresti
89,68,63,41,59,55,50,47,34,47,35,20,20,10,17,14,15,22,19,17,2,12,5,2,1,1,Agresti
83,55,35,47,33,40,30,38,26,26,20,16,9,11,14,8,12,11,20,5,6,2,4,0,4,1,Agresti
83,63,48,52,51,40,44,49,27,39,24,30,21,14,8,13,28,13,11,8,4,8,1,5,0,0,Agresti
196,121,77,106,75,102,59,68,83,72,45,40,38,23,20,18,22,34,21,8,8,11,10,0,1,2,Agresti
120,80,48,61,64,63,46,43,37,29,49,35,30,21,13,15,3,16,9,12,7,2,3,1,1,1,Agresti
68,54,42,22,34,36,24,33,22,18,28,16,19,8,7,6,11,7,15,7,1,1,1,2,0,1,Agresti
62,56,33,55,27,33,35,20,32,13,24,13,14,11,5,8,6,4,10,4,4,5,1,2,1,0,Agresti
83,74,45,78,43,65,43,60,34,48,21,22,26,15,18,15,9,11,25,6,9,6,2,0,0,1,Agresti
77,50,40,33,57,40,33,31,28,26,23,12,20,18,16,10,7,6,12,15,6,6,2,0,3,0,Agresti
116,83,59,74,49,42,47,58,42,59,31,18,28,16,13,15,11,13,25,16,16,5,2,1,0,0,Agresti
65,76,38,29,42,41,24,32,30,38,23,7,21,19,3,8,9,17,9,13,8,3,0,0,0,0,Agresti
148,113,105,86,84,70,67,72,57,63,65,37,32,20,15,23,24,34,26,21,12,7,3,0,1,0,Agresti
163,111,84,91,72,79,60,57,67,80,34,44,46,38,28,12,10,65,37,16,33,9,4,0,1,0,Agresti
50,30,23,30,25,27,18,23,14,25,16,10,12,10,13,9,5,4,6,4,9,1,1,0,0,0,Agresti
84,43,54,33,42,47,32,38,29,40,29,21,12,12,11,8,13,9,11,6,16,2,2,0,0,0,Agresti
76,62,53,45,40,50,27,33,28,47,22,19,18,18,11,12,7,17,6,9,6,7,1,2,9,2,Agresti
46,48,34,48,32,38,18,32,21,22,10,15,19,17,11,15,8,12,8,3,4,5,0,0,0,1,Agresti
108,102,82,86,80,88,55,58,41,62,54,29,21,22,34,16,20,15,7,23,8,6,3,2,2,1,Agresti
38,32,22,33,29,25,24,18,16,16,10,7,12,6,11,6,5,11,11,3,4,2,1,0,1,1,Agresti
134,119,117,86,86,106,82,62,62,66,26,48,35,29,29,26,23,35,20,20,12,13,3,2,1,1,Agresti
104,76,78,64,67,57,55,53,48,39,35,25,18,20,19,13,11,13,11,15,9,14,2,0,0,1,Ashbacher
135,112,92,77,87,70,67,59,62,42,34,33,13,18,27,19,20,11,17,12,16,8,0,0,1,0,Ashbacher
66,63,50,46,36,29,34,25,27,19,19,11,6,13,11,7,12,9,12,4,6,5,1,0,0,0,Ashbacher
120,98,90,71,63,66,58,77,47,47,36,35,14,22,24,14,15,17,14,30,5,11,2,0,0,0,Ashbacher
120,98,90,71,63,66,58,77,47,47,36,35,14,22,24,14,15,17,14,30,5,11,2,0,0,0,Ashbacher
113,98,70,88,82,71,68,65,53,41,43,25,23,20,29,20,26,25,20,12,6,9,2,0,0,0,Ashbacher
124,92,75,69,62,63,47,47,57,32,22,27,9,28,32,14,14,16,20,8,3,8,1,2,1,0,Ashbacher
116,114,118,85,98,94,91,69,72,40,34,39,30,37,22,15,33,21,13,23,12,15,4,3,0,0,Ashbacher
92,47,44,50,43,37,40,38,41,30,23,14,15,17,22,12,14,7,12,7,5,7,1,4,1,0,Ashbacher
180,122,114,106,93,105,97,93,75,60,49,51,22,35,24,33,19,13,24,28,12,17,2,3,0,2,Ashbacher
103,82,80,66,50,48,54,51,57,33,28,23,17,21,24,15,12,13,16,11,5,5,0,1,2,1,Ashbacher
59,40,45,49,30,29,27,30,28,23,22,13,13,17,9,13,17,7,12,14,5,11,2,0,2,0,Ashbacher
74,54,51,37,49,35,50,26,21,22,21,14,11,15,12,6,15,11,8,9,9,6,1,0,0,1,Ashbacher
162,86,94,76,83,93,66,75,57,41,46,33,29,35,27,21,28,16,16,15,14,10,4,0,0,0,Ashbacher
67,48,50,52,49,38,42,27,25,19,30,22,18,27,13,15,13,7,5,11,5,12,2,2,2,1,Ashbacher
93,79,40,60,53,42,44,49,38,26,28,10,13,16,20,9,13,13,6,7,6,7,2,0,1,0,Ashbacher
116,93,69,73,62,68,65,60,41,30,28,23,14,19,19,16,15,15,20,13,13,7,0,3,1,0,Ashbacher
201,151,123,102,106,116,101,82,91,66,38,36,29,29,33,22,27,37,25,41,14,22,1,3,1,1,Ashbacher
178,115,102,99,105,88,99,69,88,29,45,45,35,30,26,22,40,20,20,28,17,14,4,2,0,2,Ashbacher
73,63,56,40,42,38,40,34,41,17,16,18,15,15,14,12,16,13,5,9,3,3,3,1,0,0,Ashbacher
187,136,112,103,110,103,98,92,95,66,68,34,26,31,27,22,29,27,23,14,19,12,5,1,0,0,Ashbacher
150,125,115,76,100,89,83,65,56,54,34,33,41,30,26,20,14,23,15,15,16,6,3,1,1,10,Ashbacher
153,100,103,76,77,80,70,78,45,53,40,20,17,29,23,26,17,13,26,11,13,7,3,2,2,0,Ashbacher
139,115,93,95,78,86,69,61,46,57,38,23,34,25,26,20,18,26,13,14,4,9,5,0,1,0,Ashbacher
166,111,104,78,92,92,78,75,76,45,41,45,21,27,27,23,21,18,19,21,13,4,2,1,1,0,Ashbacher
84,62,47,51,35,35,35,30,41,25,20,13,21,11,17,15,6,11,7,5,7,3,1,0,8,1,Ashbacher
220,156,150,101,115,118,84,84,108,84,42,52,38,38,28,35,28,35,27,39,32,14,0,1,0,0,Ashbacher
109,63,49,67,55,52,47,56,39,33,13,9,13,19,16,16,14,17,17,14,20,6,0,3,1,0,Ashbacher
166,119,100,103,87,102,105,76,69,53,71,27,42,40,27,21,22,12,26,23,14,8,3,1,0,2,Ashbacher
176,129,96,97,90,101,77,86,56,57,34,39,27,29,37,16,15,32,21,17,16,9,4,0,0,1,Ashbacher
113,100,80,87,76,68,67,61,35,29,42,39,31,23,21,10,14,28,3,27,7,8,3,0,1,3,Ashbacher
135,96,81,82,74,75,61,63,52,39,31,22,28,36,22,28,25,11,20,26,16,10,5,2,0,1,Ashbacher
107,103,81,81,83,51,80,53,68,37,34,26,13,26,20,26,15,23,19,11,9,5,2,6,1,0,Ashbacher
210,154,136,118,130,102,129,98,93,69,58,45,36,32,33,18,34,34,24,13,21,13,2,0,2,0,Ashbacher
158,142,109,104,97,89,84,100,63,50,50,42,45,22,43,21,18,24,29,17,9,7,2,2,2,3,Ashbacher
143,126,110,90,103,98,88,99,65,39,43,48,20,30,35,24,25,22,19,24,18,13,2,4,1,0,Ashbacher
177,122,145,97,108,101,85,82,89,58,49,44,38,46,30,33,21,36,17,23,15,12,6,4,2,1,Ashbacher
223,147,150,116,155,139,147,112,94,78,58,53,35,49,27,33,31,35,23,30,16,12,9,1,3,3,Ashbacher
194,147,144,124,108,95,90,116,70,91,45,42,26,47,55,21,22,20,41,19,17,6,1,1,2,1,Ashbacher
153,112,111,89,73,73,81,59,65,43,42,41,28,30,28,18,17,27,15,20,7,12,5,3,0,3,Ashbacher
155,118,97,92,101,104,113,96,81,55,51,23,41,33,26,14,29,24,18,12,14,7,1,0,1,8,Ashbacher
137,104,111,72,98,74,88,80,60,55,55,29,29,35,18,24,25,13,26,15,19,8,1,3,2,1,Ashbacher
122,110,81,66,79,75,71,62,69,36,30,29,15,22,19,10,14,21,20,21,13,1,1,1,1,1,Ashbacher
74,67,56,58,54,49,39,32,40,37,23,20,23,15,18,13,11,17,15,13,5,9,2,1,4,0,Ashbacher
100,79,60,58,61,57,49,42,50,25,30,13,18,16,16,22,14,18,23,11,9,7,2,2,1,0,Ashbacher
151,105,81,83,91,76,107,67,65,31,34,30,28,26,22,25,29,20,13,15,15,16,1,2,6,2,Ashbacher
97,69,57,51,58,55,46,47,47,28,31,13,11,12,14,9,28,18,10,12,21,6,0,2,0,0,Ashbacher
178,117,136,121,103,103,110,93,83,60,52,45,28,55,32,32,35,26,50,21,7,14,4,1,0,0,Ashbacher
147,122,108,92,95,72,87,72,76,44,50,34,28,32,32,19,21,25,23,21,10,10,4,2,0,0,Ashbacher
93,80,63,72,48,49,45,39,41,33,17,21,15,21,20,12,8,21,7,15,9,6,0,0,1,0,Ashbacher
91,84,67,53,45,51,56,44,47,31,33,21,25,15,21,24,15,16,20,12,7,4,3,2,1,4,Auken
185,139,142,116,102,124,104,109,79,76,55,57,39,40,32,34,39,24,28,26,13,14,3,6,2,2,Auken
173,129,138,126,113,89,105,99,74,77,71,31,33,33,31,39,51,44,31,29,14,4,2,4,2,1,Auken
161,115,108,92,113,101,96,94,69,65,46,51,43,38,24,26,31,21,18,24,8,11,3,5,0,1,Auken
161,115,108,92,113,101,96,94,69,65,46,51,43,38,24,26,31,21,18,24,8,11,3,5,0,1,Auken
125,69,87,56,73,70,62,74,34,61,39,35,23,29,16,18,21,18,15,28,10,11,3,7,0,1,Auken
91,72,69,66,71,73,50,49,39,53,43,25,19,19,16,11,21,20,13,20,7,6,2,0,0,0,Auken
90,72,65,65,70,72,49,49,39,51,41,25,19,19,16,11,21,20,13,19,5,6,2,0,0,0,Auken
29,18,27,22,16,20,16,25,9,14,12,11,7,11,3,5,14,6,4,7,1,1,0,1,0,0,Auken
110,64,48,45,44,42,40,56,45,39,34,25,17,15,10,14,12,13,20,8,10,6,2,0,2,0,Auken
127,108,131,96,100,89,91,78,62,61,59,38,33,36,34,18,23,19,16,18,14,8,4,1,0,2,Auken
124,106,123,92,96,85,89,78,61,56,57,38,32,36,33,17,22,19,16,17,11,8,4,1,0,2,Auken
67,50,50,57,54,56,39,41,32,34,27,28,22,15,14,11,7,13,8,14,10,7,3,4,4,1,Auken
148,124,107,82,104,88,87,82,51,50,43,36,26,43,30,26,19,27,20,20,10,17,4,3,1,1,Auken
141,115,113,97,99,99,104,69,42,58,48,60,36,35,28,26,19,27,14,11,10,6,2,2,8,1,Auken
202,132,128,118,110,110,101,99,66,53,56,42,34,50,33,27,28,30,28,23,20,9,4,2,6,1,Auken
165,90,126,94,92,107,95,114,61,58,44,59,34,46,24,25,26,22,20,27,20,11,0,5,3,0,Auken
139,96,114,72,93,55,90,56,50,60,48,24,14,25,20,19,21,17,23,14,14,8,4,6,1,0,Auken
166,90,125,94,92,107,95,112,61,60,45,59,35,45,24,24,26,22,20,29,20,10,0,5,3,0,Auken
190,139,109,95,114,120,103,87,66,86,51,54,36,35,29,16,31,36,19,26,21,3,5,4,3,4,Auken
206,136,105,101,91,104,80,119,74,46,70,46,37,37,38,19,23,26,33,23,19,12,3,3,0,0,Auken
117,87,85,69,71,76,59,63,42,59,30,28,40,21,21,18,18,22,11,24,11,6,0,4,1,2,Auken
152,134,109,115,99,107,88,85,79,63,48,60,46,38,30,24,27,26,26,20,16,17,2,2,2,5,Auken
105,61,89,79,66,66,72,67,22,59,35,37,23,33,21,26,15,24,10,17,7,20,0,8,0,0,Auken
57,47,29,36,28,33,37,25,20,13,9,22,8,11,12,10,8,12,9,9,6,9,2,2,1,0,Auken
72,56,81,55,59,41,60,70,27,50,27,23,21,23,14,14,12,14,10,17,7,7,2,6,1,0,Auken
141,95,107,90,67,95,84,71,54,63,51,37,29,27,35,35,8,22,16,20,17,9,2,10,0,2,Auken
122,82,96,88,59,87,75,64,50,61,44,35,27,25,30,32,9,20,14,18,13,10,1,10,0,1,Auken
134,94,125,91,81,78,81,92,54,55,60,44,27,29,22,27,22,26,19,32,22,8,2,5,2,0,Auken
105,63,64,45,65,49,50,57,24,38,32,24,19,22,15,12,9,29,5,14,13,5,0,3,1,5,Auken
101,63,65,45,66,50,49,55,26,37,34,23,18,23,13,13,9,32,4,13,14,5,0,2,0,5,Auken
23,18,19,16,17,18,20,16,9,7,12,5,9,7,7,7,12,2,1,7,2,2,1,0,0,0,Auken
116,93,81,75,64,73,49,64,49,41,45,34,34,18,23,22,16,19,22,18,12,8,3,0,0,3,Auken
83,64,69,60,64,50,52,48,46,37,37,15,12,13,10,8,17,12,11,12,9,6,1,4,0,0,Auken
124,89,81,82,83,79,78,79,50,30,36,30,22,23,15,14,28,27,16,17,11,18,2,11,2,0,Auken
123,90,86,87,83,79,79,80,50,32,37,29,22,21,15,14,27,24,17,20,13,18,2,11,2,0,Auken
31,18,25,16,24,22,8,13,10,13,15,4,10,9,3,3,1,4,4,3,6,2,3,0,0,1,Auken
51,40,50,44,32,38,34,39,21,21,18,14,10,13,18,12,8,7,7,13,8,4,0,0,0,0,Auken
27,24,20,17,15,25,12,12,7,6,15,9,5,3,5,6,3,8,4,6,3,3,1,2,0,1,Auken
116,78,75,64,72,80,71,61,31,40,51,32,37,35,32,22,14,13,15,19,11,7,0,6,0,1,Auken
128,78,80,77,78,81,55,55,38,43,38,30,28,21,26,26,19,46,13,28,11,7,1,2,0,1,Auken
141,93,85,85,92,77,87,76,47,50,50,21,24,33,22,20,28,27,15,12,20,8,4,1,0,1,Auken
129,85,96,79,88,78,93,81,51,53,48,38,31,37,22,23,31,17,16,13,18,7,1,3,3,1,Auken
129,85,96,79,88,78,93,81,51,53,48,38,31,37,22,23,31,17,16,13,18,7,1,3,3,1,Auken
102,68,69,68,60,52,59,81,36,53,36,39,25,31,24,16,23,25,12,18,11,15,2,3,0,0,Auken
112,100,97,78,92,78,79,74,55,52,32,37,32,37,24,17,26,28,12,12,13,14,4,1,2,1,Auken
117,72,72,63,59,66,55,74,33,39,27,29,18,20,15,11,20,17,16,16,11,8,3,2,0,1,Auken
92,53,74,45,65,41,62,49,25,59,21,23,21,25,14,15,14,18,11,19,9,4,2,2,3,0,Auken
163,102,126,97,106,86,101,81,62,77,56,31,36,40,28,25,30,38,20,21,23,10,0,4,1,0,Auken
126,71,59,74,71,78,54,71,26,49,28,40,24,26,31,16,12,19,13,14,11,8,1,1,0,2,Auken
159,111,110,133,108,72,96,80,65,51,54,31,45,34,35,19,28,17,29,33,18,17,3,2,1,5,Blankenship
185,145,116,154,126,90,105,108,81,59,51,43,41,36,34,22,31,23,36,27,23,30,2,1,1,3,Blankenship
121,126,106,105,102,71,93,62,68,59,49,43,39,23,25,27,24,21,28,25,12,18,1,1,1,1,Blankenship
120,104,102,94,63,61,59,64,61,33,35,22,20,23,29,25,24,15,17,16,10,12,4,3,1,0,Blankenship
156,135,119,116,96,81,90,79,78,73,55,43,38,30,40,31,21,24,26,35,10,20,7,3,2,2,Blankenship
103,124,76,93,94,54,66,58,62,51,33,41,34,30,15,28,20,27,23,19,5,9,1,1,2,2,Blankenship
188,117,103,106,105,98,94,78,70,47,52,45,34,29,30,18,25,30,15,23,13,21,3,6,5,6,Blankenship
135,112,82,75,70,58,72,65,50,37,32,33,29,18,28,14,19,22,15,7,11,5,1,3,1,0,Blankenship
125,100,94,101,77,87,75,85,56,46,47,30,42,26,27,27,14,17,20,21,17,22,2,5,1,3,Blankenship
142,86,70,66,47,49,66,53,43,36,36,20,23,17,16,18,18,15,19,21,16,12,0,2,1,2,Blankenship
173,107,105,95,74,84,84,57,68,64,47,45,28,25,23,20,11,26,28,17,15,12,1,2,3,3,Blankenship
150,120,97,87,85,74,83,71,56,71,42,39,38,24,26,22,24,20,23,21,19,7,0,1,1,1,Blankenship
156,177,110,145,118,129,101,90,109,50,52,30,57,21,37,27,46,25,31,22,10,17,3,1,2,5,Blankenship
160,131,118,103,98,94,78,77,90,59,44,19,34,31,27,23,28,38,29,19,15,16,1,3,1,1,Blankenship
154,103,96,109,115,95,100,77,71,54,67,43,52,22,36,17,33,24,26,17,18,21,1,9,1,5,Blankenship
128,115,103,84,102,77,82,70,51,56,51,23,34,22,22,30,26,21,22,12,13,17,0,6,1,2,Blankenship
125,113,84,71,74,58,58,57,57,49,34,31,28,20,23,20,16,20,15,16,4,14,2,1,1,3,Blankenship
162,138,116,105,91,93,88,85,72,59,51,31,36,30,27,39,24,30,26,29,12,16,7,3,1,2,Blankenship
151,152,150,119,125,111,108,97,104,78,61,26,41,28,25,24,39,34,40,28,9,20,2,3,1,2,Blankenship
160,148,127,119,110,95,98,71,64,62,66,40,48,35,39,28,28,30,37,29,15,21,0,4,2,5,Blankenship
170,139,101,104,99,87,84,81,92,57,47,25,42,19,32,26,27,22,28,28,20,14,2,2,1,5,Blankenship
148,128,90,104,84,74,71,68,82,48,46,19,39,41,26,29,26,15,29,28,15,18,1,1,1,1,Blankenship
140,112,94,105,100,67,94,79,54,50,38,36,26,24,36,23,27,22,14,17,19,12,2,3,2,0,Blankenship
179,156,132,111,107,93,108,62,97,48,49,36,30,44,26,28,25,24,38,27,21,14,8,2,2,0,Blankenship
148,129,99,131,113,106,104,89,81,71,42,33,53,33,34,50,41,36,35,22,11,16,2,3,2,4,Blankenship
146,131,120,96,108,92,94,70,89,72,54,34,36,24,19,47,19,18,35,29,10,18,0,2,4,2,Blankenship
136,133,107,111,100,83,78,79,79,54,33,44,38,27,27,26,19,37,17,29,14,16,1,2,2,1,Blankenship
107,72,69,73,76,56,62,47,48,38,28,22,21,26,35,24,23,12,20,14,8,9,0,4,1,1,Blankenship
153,155,101,111,105,110,79,82,104,63,43,45,44,27,38,42,27,31,32,25,6,15,1,7,2,1,Blankenship
157,99,105,105,90,72,86,89,67,65,40,29,41,18,27,19,32,37,16,23,15,20,2,6,1,4,Blankenship
107,91,76,95,68,74,65,60,41,40,31,21,36,25,27,21,10,11,15,14,14,12,0,0,1,8,Blankenship
206,149,116,143,117,114,93,116,93,60,60,30,38,27,32,34,23,21,35,32,20,19,0,2,2,6,Blankenship
106,97,86,96,84,73,65,62,52,49,41,27,20,32,25,24,21,21,18,21,14,16,0,1,4,2,Blankenship
177,154,117,144,106,99,94,91,88,59,51,23,40,28,33,32,31,29,22,31,17,24,1,2,1,0,Blankenship
123,139,121,112,102,96,86,75,51,57,41,28,29,31,32,22,17,21,36,18,12,18,0,2,3,4,Blankenship
135,117,99,111,114,88,92,83,63,43,44,33,40,34,30,24,19,30,25,24,12,18,2,0,3,2,Blankenship
135,114,80,112,93,73,68,71,76,59,43,20,33,22,28,22,29,20,9,24,17,13,2,2,1,2,Blankenship
160,123,98,117,102,98,101,84,65,55,60,42,49,25,24,24,19,30,26,31,15,14,0,7,2,3,Blankenship
113,110,103,116,95,87,80,65,58,58,41,32,36,30,29,24,19,15,20,25,10,19,1,4,2,0,Blankenship
148,107,110,84,101,90,81,69,66,66,56,32,31,40,21,26,30,33,23,23,10,14,2,1,1,2,Blankenship
145,110,95,117,98,90,92,68,56,70,48,35,35,26,28,24,26,27,21,22,14,19,2,2,2,1,Blankenship
153,122,89,103,124,98,68,85,76,76,39,28,38,26,29,24,26,30,33,20,9,18,1,1,1,1,Blankenship
136,103,106,83,93,91,71,73,67,67,34,25,26,33,22,23,23,17,24,31,9,17,2,2,1,1,Blankenship
164,119,99,95,112,78,74,84,66,61,52,25,45,22,39,21,26,18,27,22,19,19,3,2,1,3,Blankenship
141,117,93,95,84,83,72,79,62,45,49,30,29,27,20,26,21,22,20,20,14,10,2,1,0,3,Blankenship
172,126,129,99,103,85,85,72,81,55,52,33,44,43,38,23,22,30,18,28,19,12,2,5,3,3,Blankenship
123,103,83,74,103,68,73,75,62,41,28,20,33,33,21,20,24,22,22,13,15,8,0,0,0,1,Blankenship
134,126,81,94,99,88,61,68,51,47,36,29,35,21,25,28,13,26,20,24,17,20,4,3,2,2,Blankenship
184,123,118,105,116,120,93,99,88,56,59,50,41,35,30,26,19,27,29,22,18,29,0,2,2,5,Blankenship
168,140,110,107,113,97,73,98,87,79,57,42,29,31,31,23,26,21,36,26,11,23,1,2,1,2,Blankenship
128,143,90,92,109,81,92,80,71,47,30,44,26,15,16,10,33,20,21,32,8,25,4,1,1,2,Brody
108,91,64,70,71,63,57,46,43,28,21,29,14,10,20,8,9,16,12,20,8,29,1,1,1,1,Brody
123,116,88,79,78,67,73,74,46,44,31,27,29,26,18,18,21,25,17,23,10,19,2,0,5,0,Brody
128,69,80,61,77,98,61,54,77,44,32,21,15,22,21,16,18,28,14,8,14,7,3,1,2,0,Brody
44,45,36,45,43,31,28,25,26,27,16,20,17,13,10,8,6,8,7,10,7,2,0,2,0,0,Brody
50,30,33,28,26,21,32,20,23,16,18,12,8,17,3,12,10,7,2,7,10,5,0,1,1,0,Brody
96,79,76,73,72,39,60,49,46,28,32,23,27,29,18,24,15,20,15,15,18,9,0,0,4,0,Brody
132,74,80,83,68,57,74,74,59,42,37,29,23,26,19,13,12,19,32,8,16,5,0,0,0,3,Brody
73,58,57,42,52,42,31,34,34,30,20,11,17,16,14,7,10,9,9,12,10,11,0,0,2,0,Brody
175,150,117,113,149,95,93,89,98,70,49,39,27,37,18,24,26,24,39,31,22,17,5,2,1,0,Brody
70,55,74,52,53,26,37,36,32,24,28,16,11,20,18,12,11,14,10,11,9,6,1,2,4,0,Brody
46,30,30,25,39,23,20,22,15,16,18,15,3,9,11,5,7,2,6,1,5,7,2,0,0,0,Brody
132,109,71,104,91,79,73,77,59,55,28,41,24,14,21,20,17,21,18,16,8,28,1,4,1,2,Brody
162,129,99,104,93,93,107,79,58,52,44,37,30,16,27,22,26,19,21,30,15,27,0,1,0,4,Brody
182,151,127,92,120,102,91,86,77,58,36,38,38,36,33,31,23,34,23,30,11,39,2,3,1,5,Brody
185,175,130,125,161,105,116,97,85,90,49,37,40,32,29,27,33,34,43,29,19,26,3,3,4,1,Brody
111,53,72,59,69,61,57,46,52,42,28,20,19,21,24,25,16,29,16,18,12,12,1,1,4,1,Brody
82,62,57,48,41,52,36,39,28,37,7,11,14,10,15,16,10,15,9,10,7,9,0,2,1,2,Brody
31,35,28,34,34,34,20,18,14,22,14,14,11,9,5,11,6,8,4,6,3,3,0,0,0,0,Brody
33,29,19,16,24,26,15,12,18,13,13,16,7,4,6,5,3,9,4,3,3,1,1,0,0,1,Brody
58,84,50,46,48,43,28,36,51,47,24,9,15,13,10,11,13,10,12,14,2,9,0,0,1,0,Brody
169,144,121,105,133,103,114,104,62,67,44,36,29,30,23,24,27,26,35,22,22,25,2,3,2,0,Brody
110,122,94,107,70,70,76,59,43,38,36,27,29,22,28,22,18,12,11,13,8,14,1,1,0,2,Brody
120,104,81,64,100,86,63,62,60,46,33,28,18,21,20,13,24,14,18,16,5,4,1,1,2,1,Brody
35,21,28,23,30,24,27,14,13,20,16,9,10,10,6,5,5,3,8,11,1,3,0,2,3,0,Brody
62,62,60,41,46,51,39,35,42,28,14,12,15,4,12,12,18,13,11,8,7,17,0,2,1,0,Brody
112,63,73,55,59,69,55,62,37,36,29,36,13,27,27,14,21,29,16,12,12,6,2,2,1,0,Brody
77,66,72,64,51,36,38,45,45,27,27,17,23,12,15,12,18,16,12,18,9,13,1,1,1,1,Brody
47,52,46,40,37,40,37,27,18,22,15,10,7,6,11,10,13,9,10,13,10,11,1,0,0,0,Brody
83,64,51,57,61,41,54,54,42,33,21,14,17,18,17,22,14,14,20,15,19,4,0,2,1,0,Brody
