@relation amazonReview
@attribute "-" numeric
@attribute ")" numeric
@attribute "(" numeric
@attribute "/" numeric
@attribute "_" numeric
@attribute "*" numeric
@attribute "+" numeric
@attribute "&" numeric
@attribute "%" numeric
@attribute "~" numeric
@attribute "$" numeric
@attribute "]" numeric
@attribute "[" numeric
@attribute "#" numeric
@attribute "\\" numeric
@attribute "=" numeric
@attribute "`" numeric
@attribute "<" numeric
@attribute ">" numeric
@attribute "|" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
7,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Auken
10,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Auken
4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Auken
4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Auken
11,13,13,22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Auken
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
9,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Auken
13,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
5,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Auken
3,6,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
2,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Auken
6,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Auken
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
3,2,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Auken
16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
12,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
9,7,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
9,7,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
16,11,10,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Auken
1,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Auken
8,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
5,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auken
6,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Auken
9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Beauchamp
7,1,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
4,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Beauchamp
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,1,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,Beauchamp
2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
7,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beauchamp
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blankenship
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brody
